date,max_temp,min_temp,avg_temp
2026-06-13,28.0,16.3,22.15
2026-06-14,26.5,14.4,20.45
2026-06-15,28.8,14.5,21.65
2026-06-16,27.6,21.2,24.4
2026-06-17,32.6,19.0,25.8
2026-06-18,36.7,19.3,28.0
2026-06-19,36.2,21.7,28.950000000000003
2026-06-20,35.7,21.6,28.650000000000002
